phi_offset,phi0,charge_fraction,T_MeV,mu_MeV,reduced_distance,D_B_hat,chi_B_over_T2,thermo_condition,maxwell_error
0.5,3.028280966207555,0.4208726937049903,105.75083571838947,593.3226560539088,0.019233282171911226,0.10831462386062227,0.8215582289364723,128.6392501625396,3.647686655317912e-06
0.35,3.178280966207555,0.40382378191625645,104.39149323091131,593.3226560459066,0.0061318528007276996,0.04910332918664501,1.141768085091242,319.0287391591028,2.6341934978124996e-06
0.25,3.278280966207555,0.389504464214852,103.97592085370731,593.3226560540345,0.0021265397918968088,0.02332132948610179,1.693737679794695,712.9173879914888,2.0256026689011135e-06
0.18,3.3482809662075548,0.37836062621307026,103.8348197532902,593.3226560403797,0.0007665984096918436,0.011416517647611472,2.661213357748911,1505.7359400268501,1.6620610471802719e-06
0.12,3.408280966207555,0.36818381231176395,103.77815256940224,593.3226560534779,0.00022043648640091007,0.0048130733486494185,4.990101382560838,3658.401850767505,1.4189984012671835e-06
0.08,3.448280966207555,0.3611146191747584,103.76192062054348,593.3226560532432,6.399193067752053e-05,0.002061710228658325,9.91277777727358,8661.593740119904,1.256931727532646e-06
0.05,3.478280966207555,0.35567628654212247,103.75687503048115,593.3226560451533,1.536221267307179e-05,0.0007824255209193848,23.08816055153318,23046.21408025063,1.1659144001367974e-06
0.03,3.498280966207555,0.35198975743353744,103.75562001850619,593.322656053772,3.266327418538513e-06,0.000275728914566379,60.27863866021124,65799.5108171706,1.0891019486045958e-06
0.02,3.508280966207555,0.3501289660394841,103.75537990095815,593.3226560539396,9.520592150202868e-07,0.00012083498995014313,131.8942406585338,150592.67774902965,1.0715530088213615e-06
0.012,3.516280966207555,0.3486321463643643,103.75530159650248,593.3226560540371,1.973558898527261e-07,4.255743205340472e-05,362.07477985199057,428585.04158491927,1.0677557691929996e-06
0.008,3.520280966207555,0.34788105064119224,103.75528672991705,593.3226560539332,5.4070793620352655e-08,1.8318931503203805e-05,827.0470773464573,996815.1268385851,1.0516784822102536e-06
0.005,3.523280966207555,0.3473165664703534,103.75528218432586,593.3226560540329,1.0260096772589427e-08,6.568511355517944e-06,2277.438466395578,2782415.638213003,1.0428465338208058e-06
