trajectory,path_index,parent_index,sector,mode,phi_H,charge_fraction,Phi1,T_MeV,mu_B_MeV,mu_B_over_T,s_over_T3,n_B_over_T3,s_over_n_B,branch_id,locally_stable,inside_spinodal,reduced_distance_to_CEP,Re_omega_hat,Im_omega_hat,shooting_source_residual,spectral_distance_hat,spectral_overlap_parent,spectral_pencil_residual
mu0,17,16,singlet,0,5.0,0.0,0.0,87.1971791534744,0.0,0.0,0.6482510589201926,0.0,nan,stable_crossover,True,False,1.012654108049873,1.7380807478624363,-0.32066974881180527,7.625827431187668e-11,2.6834069620531068e-05,0.9999270447392599,5.791609710068252e-16
mu0,16,15,singlet,0,4.75,0.0,0.0,93.67231742323088,0.0,0.0,0.811478159031469,0.0,nan,stable_crossover,True,False,1.0047109037556927,1.6435800080412022,-0.2899230042847695,7.54118711723152e-12,5.940426527377124e-06,0.999925540792208,6.697968831269096e-16
mu0,15,14,singlet,0,4.5,0.0,0.0,100.25158143728444,0.0,0.0,1.0182727507339968,0.0,nan,stable_crossover,True,False,1.0005700061893459,1.5618884504716095,-0.27267147487368115,1.2909795799194963e-12,1.8523082641658625e-06,0.9999260952813465,6.299515831364499e-16
mu0,14,13,singlet,0,4.25,0.0,0.0,106.91284671813682,0.0,0.0,1.2798854648172306,0.0,nan,stable_crossover,True,False,1.0004629710379904,1.4901057251327614,-0.2653076242095915,1.6962097395720517e-13,8.675040725543946e-07,0.9999275907095129,6.687043042808824e-16
mu0,13,12,singlet,0,4.0,0.0,0.0,113.64940607335022,0.0,0.0,1.609765843444823,0.0,nan,stable_crossover,True,False,1.0045364945275086,1.4264443275366323,-0.26585072758658257,9.405304786248642e-14,5.500900129641528e-07,0.9999295244936894,7.388670486189701e-16
mu0,12,0,singlet,0,3.75,0.0,0.0,120.47625667297962,0.0,0.0,2.0234809725824507,0.0,nan,stable_crossover,True,False,1.0129026828467,1.3695491826555894,-0.2731936036676422,4.916742730392758e-14,4.2311497320400214e-07,0.999931667956441,8.391277964348376e-16
mu0,0,-1,singlet,0,3.5,0.0,0.0,127.4376231208714,0.0,0.0,2.5382648343573027,0.0,nan,stable_crossover,True,False,1.0257187423632592,1.318280430762488,-0.28673700274819547,7.91904465781989e-15,3.661141762926998e-07,nan,7.930741847142634e-16
mu0,1,0,singlet,0,3.25,0.0,0.0,134.61638852124653,0.0,0.0,3.172020247987524,0.0,nan,stable_crossover,True,False,1.043298297090402,1.2716409101832038,-0.3061768284631132,3.354505351426697e-09,3.3846036948859893e-07,0.9999339320783922,8.667994562768326e-16
mu0,2,1,singlet,0,3.0,0.0,0.0,142.1466612676674,0.0,0.0,3.941600236981508,0.0,nan,stable_crossover,True,False,1.0662615710279484,1.2287632354863933,-0.33135373115659633,7.770320721201525e-15,3.471171987281542e-07,0.9999363216271088,8.434044335331521e-16
mu0,3,2,singlet,0,2.75,0.0,0.0,150.23164288847676,0.0,0.0,4.860262627701062,0.0,nan,stable_crossover,True,False,1.0957427403739421,1.1889285628555748,-0.3621223603773126,9.909905907359851e-14,3.741615526801086e-07,0.9999389305934168,8.932678367835664e-16
mu0,4,3,singlet,0,2.5,0.0,0.0,159.1706552660586,0.0,0.0,5.934346698940288,0.0,nan,stable_crossover,True,False,1.133692859661324,1.1516060956215843,-0.3982165062537756,2.427366920490295e-13,4.2905859226174227e-07,0.9999419531778955,8.97480974375771e-16
mu0,5,4,singlet,0,2.25,0.0,0.0,169.4024471962488,0.0,0.0,7.159469110385611,0.0,nan,stable_crossover,True,False,1.183352830658618,1.1165056345099191,-0.43909698118289964,2.958685577117788e-13,5.211911731367741e-07,0.9999456868476148,1.0018809527492221e-15
mu0,6,5,singlet,0,2.0,0.0,0.0,181.57865082865828,0.0,0.0,8.516840662157595,0.0,nan,stable_crossover,True,False,1.2500399540066098,1.083631661991147,-0.4837835997839628,2.56553564865202e-13,6.655211194524426e-07,0.9999504971841495,9.529217089424468e-16
