mu_B_target_MeV,sequence,sector,phi0,charge_fraction,T_MeV,mu_B_MeV,Re_omega_hat,Im_omega_hat,pencil_residual,tracking_continuity_proxy,calculation,line_role
0.0,0,tensor,0.65,0.0,377.1634726096938,0.0,1.5643589664848878,-1.3308252817484374,7.734253527353624e-16,nan,source-factored collocation point,piecewise-linear guide to the eye
0.0,1,tensor,0.9375,0.0,290.2772476721295,0.0,1.5676946829100964,-1.2860720594713697,7.610572453300659e-16,0.9780537620621436,source-factored collocation point,piecewise-linear guide to the eye
0.0,2,tensor,1.225,0.0,242.91024116638627,0.0,1.5702491476530123,-1.2279244742887467,7.246407305499057e-16,0.971721132960898,source-factored collocation point,piecewise-linear guide to the eye
0.0,3,tensor,1.5125,0.0,213.1721568994458,0.0,1.5714141777006094,-1.1598515599053507,7.623065088311894e-16,0.9670792289655471,source-factored collocation point,piecewise-linear guide to the eye
0.0,4,tensor,1.7999999999999998,0.0,192.5758202690696,0.0,1.5712923818463023,-1.0862281675585865,7.025897798798884e-16,0.9644952454792258,source-factored collocation point,piecewise-linear guide to the eye
0.0,5,tensor,2.0875,0.0,177.0649729682324,0.0,1.5706208934577968,-1.0116403304489117,7.371032102422988e-16,0.9640455083997387,source-factored collocation point,piecewise-linear guide to the eye
0.0,6,tensor,2.375,0.0,164.43163901963894,0.0,1.57056933632207,-0.9402826086611583,7.04325525952223e-16,0.9655502576783482,source-factored collocation point,piecewise-linear guide to the eye
0.0,7,tensor,2.6624999999999996,0.0,153.37168748974867,0.0,1.5725411676118464,-0.8756464777435218,5.990981510928358e-16,0.9686795856539431,source-factored collocation point,piecewise-linear guide to the eye
0.0,8,tensor,2.9499999999999997,0.0,143.0808564950941,0.0,1.5780095044713471,-0.8205004523684176,6.688269630517901e-16,0.9730388047785478,source-factored collocation point,piecewise-linear guide to the eye
0.0,9,tensor,3.2375,0.0,133.06115189499022,0.0,1.5883611124786017,-0.7770701590468034,6.327293650481868e-16,0.978164002140503,source-factored collocation point,piecewise-linear guide to the eye
0.0,10,tensor,3.525,0.0,123.01928226022525,0.0,1.604700414362349,-0.7473226875611985,6.520152659545357e-16,0.983313451429102,source-factored collocation point,piecewise-linear guide to the eye
0.0,11,tensor,3.8124999999999996,0.0,112.80882499324808,0.0,1.6275382330253922,-0.7332747908254467,5.869456836532952e-16,0.986771107134351,source-factored collocation point,piecewise-linear guide to the eye
0.0,12,tensor,4.1,0.0,102.39411970055416,0.0,1.6562376519576925,-0.7372071013530506,5.667625325384661e-16,0.9857230033407246,source-factored collocation point,piecewise-linear guide to the eye
0.0,0,vector,0.65,0.0,377.1634726096938,0.0,0.9937420056926413,-0.979332786853026,8.472728256637977e-16,nan,source-factored collocation point,piecewise-linear guide to the eye
0.0,1,vector,0.9375,0.0,290.2772476721295,0.0,0.9836960695949071,-0.9345842568114495,8.084314490527262e-16,0.9775828935731607,source-factored collocation point,piecewise-linear guide to the eye
0.0,2,vector,1.225,0.0,242.91024116638627,0.0,0.9657665406057067,-0.8460816703504024,8.124085450223795e-16,0.9568002417525169,source-factored collocation point,piecewise-linear guide to the eye
0.0,3,vector,1.5125,0.0,213.1721568994458,0.0,0.9579736134565124,-0.7183250534803293,8.675682325987397e-16,0.9398522415289812,source-factored collocation point,piecewise-linear guide to the eye
0.0,4,vector,1.7999999999999998,0.0,192.5758202690696,0.0,0.9722139380273728,-0.5804661098401079,7.357486210596569e-16,0.9351945355683188,source-factored collocation point,piecewise-linear guide to the eye
0.0,5,vector,2.0875,0.0,177.0649729682324,0.0,1.0076517863432963,-0.4551989270724587,8.919139042578537e-16,0.9388863109751177,source-factored collocation point,piecewise-linear guide to the eye
0.0,6,vector,2.375,0.0,164.43163901963894,0.0,1.0605110353604514,-0.3509653075730663,8.023514685392275e-16,0.9447908424699171,source-factored collocation point,piecewise-linear guide to the eye
0.0,7,vector,2.6624999999999996,0.0,153.37168748974867,0.0,1.1281756184954037,-0.26811460910650214,7.458455375307554e-16,0.9492300889445822,source-factored collocation point,piecewise-linear guide to the eye
0.0,8,vector,2.9499999999999997,0.0,143.0808564950941,0.0,1.2096986101273943,-0.20394413568297984,7.436957679232353e-16,0.9506837711544466,source-factored collocation point,piecewise-linear guide to the eye
0.0,9,vector,3.2375,0.0,133.06115189499022,0.0,1.3058922770638768,-0.15521122775621143,6.685749423930678e-16,0.9488414344669078,source-factored collocation point,piecewise-linear guide to the eye
0.0,10,vector,3.525,0.0,123.01928226022525,0.0,1.4193721833451867,-0.11894571706995201,6.7946579769305945e-16,0.9437818150884827,source-factored collocation point,piecewise-linear guide to the eye
0.0,11,vector,3.8124999999999996,0.0,112.80882499324808,0.0,1.554514292028167,-0.09271469356957385,6.450438797754987e-16,0.9356006045580757,source-factored collocation point,piecewise-linear guide to the eye
0.0,12,vector,4.1,0.0,102.39411970055416,0.0,1.717900770774684,-0.07466810606102242,6.613297826695662e-16,0.9240521062882711,source-factored collocation point,piecewise-linear guide to the eye
0.0,0,singlet,0.65,0.0,377.1634726096938,0.0,0.9692294405147244,-0.724360779551447,9.731598495838187e-16,nan,source-factored collocation point,piecewise-linear guide to the eye
0.0,1,singlet,0.9375,0.0,290.2772476721295,0.0,0.9682556590256373,-0.690150119349855,1.0434556385940737e-15,0.9831756445221431,source-factored collocation point,piecewise-linear guide to the eye
0.0,2,singlet,1.225,0.0,242.91024116638627,0.0,0.9761569710034986,-0.6405384588786508,1.0269822132559857e-15,0.9754970197762887,source-factored collocation point,piecewise-linear guide to the eye
0.0,3,singlet,1.5125,0.0,213.1721568994458,0.0,0.9952819673598394,-0.5794448050590552,9.319152316647543e-16,0.9689841800623215,source-factored collocation point,piecewise-linear guide to the eye
0.0,4,singlet,1.7999999999999998,0.0,192.5758202690696,0.0,1.025013611422234,-0.513561775798299,9.781153085838946e-16,0.9651200738252622,source-factored collocation point,piecewise-linear guide to the eye
0.0,5,singlet,2.0875,0.0,177.0649729682324,0.0,1.063442524699742,-0.44929501875138067,7.999033279786487e-16,0.9639112185669352,source-factored collocation point,piecewise-linear guide to the eye
