stride,n_phi,n_charge,mu_MeV,spinodal_low_T_MeV,spinodal_high_T_MeV,coexistence_T_MeV
4,36,31,598.0,103.41720944959596,103.4778797780786,103.4447162028685
4,36,31,602.0,103.10700341009482,103.24901086178802,103.17036514290886
4,36,31,606.0,102.78533620225492,103.02885155510933,102.8928347538499
4,36,31,610.0,102.45425633056624,102.81852715621623,102.61245727746896
4,36,31,614.0,102.1150428355068,102.61614973397549,102.32880001445926
4,36,31,618.0,101.76831682828522,102.41607652827449,102.04133514754064
4,36,31,622.0,101.41451675038202,102.22103545569637,101.75081841667641
4,36,31,626.0,101.04702231389263,102.03109948342846,101.4550786199827
4,36,31,630.0,100.67132253506664,101.84657089953132,101.15430608976045
4,36,31,634.0,100.2905063168,101.66659668442043,100.84965450516292
4,36,31,638.0,99.90435775824736,101.48901158492858,100.54059198902844
4,36,31,642.0,99.51259274980418,101.31455189560316,100.22830014258332
4,36,31,646.0,99.11509838804544,101.14327577479384,99.91300699490469
4,36,31,650.0,98.71225685253707,100.97530968629066,99.59428688858637
4,36,31,654.0,98.30442981642396,100.81059418343999,99.27202846239418
4,36,31,658.0,97.89182603252381,100.64901475053429,98.94641048819962
4,36,31,662.0,97.47463893254574,100.4902876224377,98.61743680313694
4,36,31,666.0,97.04880552483041,100.33395771352045,98.28450875846093
4,36,31,670.0,96.61531462931913,100.18024113119309,97.94674020268104
4,36,31,674.0,96.1760674537301,100.02913214331302,97.60553082015663
4,36,31,678.0,95.73256496613105,99.88023967407025,97.26063108202878
4,36,31,682.0,95.28568522327727,99.73339051337808,96.9112100149334
4,36,31,686.0,94.83439517182394,99.58860842783076,96.55855941867571
4,36,31,690.0,94.37871400034669,99.44631118777313,96.20279200391043
4,36,31,694.0,93.91856880318885,99.30474901168324,95.84414943358948
4,36,31,698.0,93.4538207032686,99.16460345387283,95.4813523661985
4,36,31,702.0,92.98491037790343,99.02706986291803,95.11519062735324
4,36,31,706.0,92.51003962422308,98.89192217997642,94.7452235114471
4,36,31,710.0,92.02937471838972,98.75902505507086,94.37177203541202
4,36,31,714.0,91.54368842401468,98.62814759881653,93.99428242962837
4,36,31,718.0,91.05294587949165,98.49906678914886,93.61360361028119
4,36,31,722.0,90.55708752486224,98.37169245749374,93.22982540723399
4,36,31,726.0,90.05739398572905,98.24181166942037,92.8420792588979
4,36,31,730.0,89.55477858868407,98.11342925878503,92.4494161046644
4,36,31,734.0,89.04812613530993,97.98700702080647,92.05362666218127
4,36,31,738.0,88.5374192216322,97.86258551269748,91.65480171900452
4,36,31,742.0,88.02262700070271,97.74017703712843,91.25301937559283
4,36,31,746.0,87.50367993003431,97.61976721299854,90.84830911464307
4,36,31,750.0,86.97860091362587,97.50131134544061,90.4388066628383
4,36,31,754.0,86.44890075076675,97.38474018729299,90.02636768123442
4,36,31,758.0,85.91524043806837,97.27011548532666,89.61056763181614
4,36,31,762.0,85.37745180779824,97.15408264351015,89.19018929460402
4,36,31,766.0,84.83511835556453,97.03838590811353,88.7666732031654
4,36,31,770.0,84.28830358266222,96.92380862336148,88.3400817594051
4,36,31,774.0,83.7371003864082,96.81037015960008,87.91064558611104
4,36,31,778.0,83.18185308974152,96.69810006003954,87.47665862951465
4,36,31,782.0,82.62254829203533,96.58703956096488,87.03786504256598
4,36,31,786.0,82.05910364336906,96.47724247157166,86.59560334642562
4,36,31,790.0,81.4938872846389,96.36877405238417,86.15100200816748
4,36,31,794.0,80.92412170511636,96.26175352524469,85.70344559682734
4,36,31,798.0,80.3503309430868,96.15649215957595,85.25355321572367
4,36,31,802.0,79.7719426568578,96.05281091913037,84.80079816247385
4,36,31,806.0,79.18807816682138,95.94929084900956,84.34307092020244
4,36,31,810.0,78.6002542025864,95.84668475243927,83.87960161373542
4,36,31,814.0,78.00788879040576,95.74496295569321,83.4129346060752
4,36,31,818.0,77.41093798278311,95.64409182016475,82.94294192454022
4,36,31,822.0,76.80943027557034,95.54404450441129,82.46995979282788
