stride,mu_MeV,delta_spinodal_low_T_MeV,delta_spinodal_high_T_MeV,delta_coexistence_T_MeV
4,598.0,-0.008898536977113736,-0.0010214595717314978,-0.006145214150606648
4,602.0,-0.010139659957630442,-0.002051329316358874,-0.007753610311524994
4,606.0,-0.00995096146559149,-0.003990845503693663,-0.008471301886018523
4,610.0,-0.008989430964206235,-0.0037582547950734124,-0.008120707293599594
4,614.0,-0.007089744532564168,-0.0021195171816259517,-0.007349640653146139
4,618.0,-0.0037026950921301705,-0.003981766658625929,-0.006154892992014993
4,622.0,-0.0003711369661800745,-0.005992087618892583,-0.0044262142320690145
4,626.0,-0.0023218683049321953,-0.007369527243170637,-0.003948789851719425
4,630.0,-0.006003420540054094,-0.007277422907606024,-0.004620993278948049
4,634.0,-0.008104217575123585,-0.006512373500058288,-0.005520264760477289
4,638.0,-0.008603038671765262,-0.0071082310697079265,-0.006864593081814974
4,642.0,-0.00919132705297443,-0.00792301527648931,-0.007796846604904317
4,646.0,-0.008617195711266845,-0.008907461006060657,-0.007857616293023284
4,650.0,-0.007875408955527519,-0.009788669680872886,-0.00760768255338462
4,654.0,-0.006587203906477157,-0.010377611900992179,-0.007264935817204332
4,658.0,-0.003828453858801595,-0.010405334841948388,-0.00640194357049495
4,662.0,-0.000813391001315722,-0.010533203622330234,-0.005310708528668329
4,666.0,-0.0005296890756483208,-0.01013223506686245,-0.004403794158093888
4,670.0,-0.0027276096568442654,-0.00984521780812031,-0.004640057793196206
4,674.0,-0.00589280568767947,-0.00909194977145944,-0.004730094482368941
4,678.0,-0.007424155385592712,-0.008544977505081874,-0.0047365678787798515
4,682.0,-0.007833511506731838,-0.008129234887874759,-0.005691137125637624
4,686.0,-0.007476967952371183,-0.007745723286049611,-0.006199010584509779
4,690.0,-0.0064415041219803015,-0.007157921045973126,-0.0061744172218851645
4,694.0,-0.005508636134692324,-0.007186050464525806,-0.005459435427013659
4,698.0,-0.003696340136983167,-0.008254689663104386,-0.005214921745150036
4,702.0,-0.0016568486475136979,-0.007763554895760194,-0.004775292780436757
4,706.0,-0.0009514832546813068,-0.007128111963169204,-0.004517700864326457
4,710.0,-0.0010175367522577972,-0.005732138551309163,-0.004145897148958966
4,714.0,-0.0019098222544329246,-0.003986673122994944,-0.004279247127556118
4,718.0,-0.002905225786662413,-0.0023098365813041255,-0.003936916232333942
4,722.0,-0.004598680561457513,-0.0004957246739536458,-0.003192669963453909
4,726.0,-0.005837072466690074,-0.0024107534978980993,-0.0028055014216761265
4,730.0,-0.00510552673516429,-0.004839211312528846,-0.0037859463119502834
4,734.0,-0.004252289001627219,-0.006072707251874476,-0.004356349821350136
4,738.0,-0.0029467364052493394,-0.006987132525210882,-0.0043650159503272334
