sample,sample_index,log_likelihood,metadata_T_c_MeV,metadata_mu_c_MeV,Lambda_MeV,kappa2,gamma,b2,b4,b6,c1,c2,c3,d1,d2,posterior_weight,represented_draws,selection_pca_dimensions
sample11,11,28.70139853596727,103.8972069115485,601.5035287947508,1130.8405980338264,11.42113141459358,0.5957186707420172,0.3413834032553518,-0.04702039641989938,0.0012454552483677549,0.0632245746259318,0.09762964101371663,0.069972396498021,1.7075987508440265,6310.700045860096,0.03650094398993078,58,6
sample74,74,31.075137487467885,103.89777513571676,602.4749076542938,1123.8704743960677,11.37047249736345,0.5904238801815029,0.32722698958661095,-0.04801342482759139,0.0009385148172188441,0.008800483500598342,0.15579934656052294,0.05281851198008199,1.7177450982418923,1679.1777562624359,0.06670862177470108,106,6
sample119,119,29.084450490705635,104.8028434011464,597.9416979321277,1140.222653283975,11.302312584411107,0.5846799738990694,0.2993867397652623,-0.043402320930203214,0.00023554740360958083,-0.12552763611921014,0.2916161652265898,0.01814131060170371,1.7321925116833106,1011.9374466825814,0.040276903713027064,64,6
sample334,334,27.683582853666437,104.52938887888202,583.5222064716709,1110.6564407404674,11.318472986892687,0.5831769542762183,0.33911919796725276,-0.0504699349139623,0.0008591697629798857,-0.06026701394708249,0.2125888213573666,0.04019631282475533,1.722747867457079,1258.9952384774513,0.05286343612334802,84,6
sample384,384,27.87870230442376,103.60479709888986,596.4654574158232,1136.7360531023476,11.447025890128582,0.5827987912347203,0.2418970805926062,-0.05112504352506632,0.0009555909604840307,0.029157471423295295,0.14518594651186525,0.05450536892488942,1.7036928564421883,2331.7763530384814,0.03587161736941473,57,6
sample405,405,28.219100430921728,102.64321839581301,614.2492229441893,1140.5944614075738,11.422724093625456,0.6153382325052638,0.48453826634698294,-0.03476790133585988,0.0009622771197915593,0.006432393099821869,0.163425824523186,0.049302534275001794,1.70683404932919,1876.9214520902908,0.022655758338577723,36,6
sample738,738,27.07978306259661,103.45751977507058,599.9429993559239,1131.2110535659579,11.273424698491274,0.6090979609870096,0.4934331216258,-0.035345499931661806,0.0007143499458724914,-0.09757415180547822,0.2522496816117642,0.029734125969991844,1.7366498734931046,409.8907512669339,0.04405286343612335,70,6
sample787,787,25.228943303277397,104.81707368064953,586.7600252725749,1160.6590038969773,11.370211882565458,0.581829590074841,0.2432872410866099,-0.0442574051984309,0.0005350826248067091,-0.07681076231869163,0.21762000842018897,0.04388546937217767,1.7193172816066464,1759.377845665194,0.06733794839521712,107,6
sample958,958,27.622539155707273,102.54000079582768,618.1045858838086,1096.2156013656333,11.243581043717617,0.6088560329238988,0.5872505904869078,-0.04184630089358371,0.0010212419735911497,-0.09758636050825902,0.2482620400064503,0.02742165236694237,1.7350522339276435,1913.5034904686277,0.02391441157960982,38,6
sample1009,1009,29.359958452293846,105.8129351829234,571.2219119448525,1159.208786837827,11.4314229212351,0.6155410371489908,0.4605282582788695,-0.03212219287132014,0.0008911095021963877,0.02762738448030484,0.13627546724943757,0.06064974513981393,1.7074629163692943,5347.990163004932,0.03335431088735054,53,6
sample1024,1024,24.439102784719303,100.25349702804911,630.9546821443512,1106.843463766908,11.305009596954783,0.5999264319915042,0.45221333189384455,-0.04373725168817483,0.00045589607783175267,-0.08591201575222213,0.2768721730914362,0.009798655878145447,1.72800211304914,5431.851811694257,0.008181246066708621,13,6
sample1030,1030,28.748334841252543,102.78955243690602,607.3792269170002,1111.39504343335,11.362844010372761,0.6143877586794912,0.5282699272071049,-0.03822388272848432,0.001177944884079888,-0.03452168475989502,0.20106119380118787,0.04195626001787412,1.7178104793196816,2496.162698345008,0.04908747640025173,78,6
sample1033,1033,26.40782079295171,102.69885408718923,598.400811985705,1145.3655613991143,11.378555970857535,0.6015334159856881,0.3876915202177498,-0.03949748365744096,0.0006713738049836911,-0.0495034431450692,0.21659460520607385,0.034335611597183395,1.7180918214581131,1488.8570027634487,0.04971680302076778,79,6
