sector,mode,study,r0,r_uv,Re_omega,Im_omega,distance_to_reference,source_residual,success
tensor,0,horizon_start,5e-06,10.0,0.9367073172033216,-0.4334697136519761,0.00012380258726000213,8.853721018772525e-14,True
tensor,0,horizon_start,1e-05,10.0,0.9365852064372638,-0.43344931655843155,0.0,9.47508224301455e-15,True
tensor,0,horizon_start,2e-05,10.0,0.936557166503796,-0.4331808830789421,0.0002698939991546728,1.048275188458883e-12,True
tensor,0,uv_extraction,1e-05,9.0,0.9365852064372638,-0.43344931655843155,0.0,9.47508224301455e-15,True
tensor,0,uv_extraction,1e-05,10.0,0.9365852064372638,-0.43344931655843155,0.0,9.47508224301455e-15,True
tensor,0,uv_extraction,1e-05,11.0,0.9365852064372638,-0.43344931655843155,0.0,9.47508224301455e-15,True
vector,0,horizon_start,5e-06,10.0,0.8442710399991116,-0.05158393566646418,0.0,2.1355841971890644e-09,True
vector,0,horizon_start,1e-05,10.0,0.8442710399991116,-0.05158393566646418,0.0,3.9279184964957006e-14,True
vector,0,horizon_start,2e-05,10.0,0.8442710399991116,-0.05158393566646418,0.0,7.918763978353948e-09,True
vector,0,uv_extraction,1e-05,9.0,0.8442710399991116,-0.05158393566646418,0.0,3.9279184964957006e-14,True
vector,0,uv_extraction,1e-05,10.0,0.8442710399991116,-0.05158393566646418,0.0,3.9279184964957006e-14,True
vector,0,uv_extraction,1e-05,11.0,0.8442710399991116,-0.05158393566646418,0.0,3.9279184964957006e-14,True
vector,1,horizon_start,5e-06,10.0,1.4486580298419727,-0.4316566356596524,0.00013477044388682285,3.076472911564729e-08,True
vector,1,horizon_start,1e-05,10.0,1.4487766219732154,-0.43172065892849076,0.0,9.633646207779098e-14,True
vector,1,horizon_start,2e-05,10.0,1.4485365249833722,-0.4318975529937562,0.000298224872969948,4.1170049151993434e-14,True
vector,1,uv_extraction,1e-05,9.0,1.4487766219732154,-0.43172065892849076,0.0,9.633646207779098e-14,True
vector,1,uv_extraction,1e-05,10.0,1.4487766219732154,-0.43172065892849076,0.0,9.633646207779098e-14,True
vector,1,uv_extraction,1e-05,11.0,1.4487766219732154,-0.43172065892849076,0.0,9.633646207779098e-14,True
singlet,0,horizon_start,5e-06,10.0,0.7462027655143891,-0.12804082539004008,2.6190800318949718e-06,1.925507363639683e-11,True
singlet,0,horizon_start,1e-05,10.0,0.7462047610067616,-0.12804252173623262,0.0,9.304897052683321e-12,True
singlet,0,horizon_start,2e-05,10.0,0.7462032811415749,-0.12805115614367113,8.760307801957043e-06,1.183889997927394e-10,True
singlet,0,uv_extraction,1e-05,9.0,0.7462047610067616,-0.12804252173623262,0.0,9.304897052683321e-12,True
singlet,0,uv_extraction,1e-05,10.0,0.7462047610067616,-0.12804252173623262,0.0,9.304897052683321e-12,True
singlet,0,uv_extraction,1e-05,11.0,0.7462047610067616,-0.12804252173623262,0.0,9.304897052683321e-12,True
