q,mode,Re_w,Im_w,residual
0.0,0,1.8734122350231575,-0.8668261879293511,1.1620752636018064e-16
0.0,1,2.927143506139392,-1.5830933126569051,1.192231813360078e-16
0.2,0,1.8860027974154987,-0.8630632247273248,1.0791677105818803e-16
0.2,1,2.934975153272606,-1.5798565200533994,1.1620960314257162e-16
0.4,0,1.9231838920617002,-0.8523512843398293,1.0351956595797763e-16
0.4,1,2.958393070463856,-1.5703860908973233,1.4410403343084004e-16
0.6000000000000001,0,1.9833011934686429,-0.8361815691805962,1.0142946321222142e-16
0.6000000000000001,1,2.997145516710044,-1.555357128447643,1.127565377072244e-16
0.8,0,2.063950684508351,-0.8164180039637934,9.588858007324967e-17
0.8,1,3.050762976610688,-1.5357577754182108,1.0748367608262901e-16
1.0,0,2.1623796342782713,-0.7947939656375622,1.0013571470266393e-16
1.0,1,3.118532826520645,-1.5127243598685827,1.0328906645201895e-16
1.2000000000000002,0,2.2758423309063103,-0.7726451573501021,9.337353470411567e-17
1.2000000000000002,1,3.199519666429606,-1.4873806086803216,1.148319105041463e-16
1.4000000000000001,0,2.4018317087016294,-0.7508655338889381,1.0689731192799004e-16
1.4000000000000001,1,3.2926288581791017,-1.4607196930562683,1.4334975593178832e-16
1.6,0,2.5381838156315326,-0.7299823047773409,1.1540769140812693e-16
1.6,1,3.39668925386225,-1.4335440838483795,1.3129188577953535e-16
1.8,0,2.6830935923526607,-0.7102619474381913,1.0347619254417057e-16
1.8,1,3.5105297944484954,-1.406455211393827,9.698839443134396e-17
2.0,0,2.8350839596144866,-0.6918034416829862,1.036823349829969e-16
2.0,1,3.6330358251543564,-1.3798742267132218,1.2306981616025623e-16
2.2,0,2.9929574196579165,-0.6746064499631874,1.0273830340666295e-16
2.2,1,3.7631826690527905,-1.3540760420864337,1.9164750855843997e-16
2.4000000000000004,0,3.1557460163656077,-0.6586164231073898,1.736172489324944e-16
2.4000000000000004,1,3.9000505968692663,-1.3292248006308967,1.4186880397413547e-16
2.6,0,3.3226665629174668,-0.6437525719463163,1.4066008909596292e-16
2.6,1,4.042827142233774,-1.3054048644316791,1.5729291120332133e-16
2.8000000000000003,0,3.493083222196484,-0.6299243594866546,1.6911781432135738e-16
2.8000000000000003,1,4.190801979472546,-1.2826453956193302,1.2387116841651139e-16
3.0,0,3.666477309253695,-0.6170407428333243,1.6770708004271549e-16
3.0,1,4.34335808800639,-1.260938687505822,1.3171580577311291e-16
